codigo_a, codigo_b, nome, classe
1788,51,JD. CAMPO LIMPO / METRÔ SANTANA,Diurno
1788,10,JD. FONTÁLIS / METRÔ SANTANA,Diurno
178A,10,METRÔ SANTANA / LAPA,Diurno
178L,10,LAUZANE PAULISTA / HOSP. DAS CLÍNICAS,Diurno
178T,10,METRÔ SANTANA / CEASA,Diurno
178Y,21,CONJ. DOS BANCÁRIOS / METRÔ JD. SÃO PAULO,Diurno
178Y,10,VL. AMÉLIA / METRÔ JD. SÃO PAULO,Diurno
179X,10,JD. FONTÁLIS / METRÔ BARRA FUNDA,Diurno
1896,10,JARAGUÁ / PÇA. RAMOS DE AZEVEDO,Diurno
189L,10,CONEXÃO VL. IÓRIO / LAPA,Diurno
199D,10,CONEXÃO VL. IÓRIO / TERM. PINHEIROS,Diurno
2002,10,TERM. PQ. D. PEDRO II / TERM. BANDEIRA,Diurno
2004,10,JD. NSA. SRA. DO CAMINHO / CPTM GUAIANASES,Diurno
2005,10,JD. ROMANO / SÃO MIGUEL,Diurno
2006,10,CID. KEMEL I / CPTM ITAIM PAULISTA,Diurno
2007,10,CID. KEMEL II / CPTM ITAIM PAULISTA,Diurno
2008,10,JD. NSA. SRA. DO CAMINHO / CPTM ITAIM PAULISTA,Diurno
2009,10,JD. ROBRU / CPTM GUAIANASES,Diurno
2010,10,PQ. EDU CHAVES / SHOP. D,Diurno
2011,10,VL. SABRINA / METRÔ SANTANA,Diurno
2012,10,VL. MEDEIROS / SHOP.D,Diurno
2013,10,COHAB ANTÁRTICA / CACHOEIRINHA,Diurno
2014,10,JD. PERY ALTO / METRÔ BARRA FUNDA,Diurno
2016,10,JD. DAS OLIVEIRAS / SÃO MIGUEL,Diurno
2017,10,JD. ROBRU / SÃO MIGUEL,Diurno
2018,10,JD. CAMPOS / SÃO MIGUEL,Diurno
2019,10,PQ. PAINEIRAS / SHOP. PENHA,Diurno
2020,10,HORTO FLORESTAL / METRÔ TUCURUVI,Diurno
2021,10,JD. BANDEIRANTES / CPTM GUAIANASES,Diurno
2023,41,JD. LABITARY / METRÔ TUCURUVI,Diurno
2023,10,CACHOEIRA / METRÔ TUCURUVI,Diurno
2024,10,DIB / CACHOEIRA,Diurno
2025,10,VL. NOVA GALVÃO / SANTANA,Diurno
2026,10,JAÇANÃ / PQ. NOVO MUNDO,Diurno
2028,10,VL. AYROSA / METRÔ TUCURUVI,Diurno
2029,10,JD. FONTÁLIS / METRÔ TUCURUVI,Diurno
2030,10,LAUZANE PAULISTA / METRÔ SANTANA,Diurno
2031,10,CID. KEMEL II / TERM. A. E. CARVALHO,Diurno
2032,10,JD. BRASIL / METRÔ CARANDIRU,Diurno
2033,10,VL. SABRINA / SHOP. D,Diurno
2058,10,TERM. SÃO MIGUEL / CPTM GUAIANASES,Diurno
2059,10,SÃO MIGUEL / CPTM GUAIANASES,Diurno
2060,10,TERM. A. E. CARVALHO / METRÔ ARTUR ALVIM,Diurno
2076,10,JD. DAS OLIVEIRAS / TERM. PENHA,Diurno
2079,10,JD. NÉLIA / CPTM ITAIM PAULISTA,Diurno
2080,10,CID. KEMEL / TERM. ARICANDUVA,Diurno
2088,10,CONJ. ENCOSTA NORTE / TERM. A. E. CARVALHO,Diurno
208M,10,METRÔ SANTANA / TERM. PINHEIROS,Diurno
208V,10,TERM. A. E. CARVALHO / TERM. PQ. D. PEDRO II,Diurno
209P,10,CACHOEIRINHA / TERM. PINHEIROS,Diurno
209P,1,CACHOEIRINHA / TERM. PINHEIROS,Diurno
2100,21,TERM. VL. CARRÃO / TERM. PQ. D. PEDRO II,Diurno
2100,10,TERM. VL. CARRÃO / PÇA. DA SÉ,Diurno
2101,41,PÇA. SILVIO ROMERO / TERM. VL. PRUDENTE,Diurno
2101,10,PÇA. SILVIO ROMERO / PÇA. DA SÉ,Diurno
2104,10,METRÔ SANTANA / TERM. PQ. D. PEDRO II,Diurno
2105,10,JD. FILHOS DA TERRA / LGO. DA CONCÓRDIA,Diurno
211L,10,MANDAQUI / LAPA,Diurno
211V,10,VL. PARANAGUÁ / PENHA,Diurno
2123,10,VL. MEDEIROS / LIBERDADE,Diurno
2127,10,PQ. EDU CHAVES / LIBERDADE,Diurno
213E,10,PQ. EDU CHAVES / METRÔ BELÉM,Diurno
2161,10,PQ. EDU CHAVES / PÇA. DO CORREIO,Diurno
2175,10,PQ. EDU CHAVES / TERM. PQ. D. PEDRO II,Diurno
2182,10,JD. BRASIL / PÇA. DO CORREIO,Diurno
2201,10,DIV. DE FERRAZ / CPTM GUAIANASES,Diurno
2202,10,JD. DAS OLIVEIRAS / CPTM GUAIANASES,Diurno
2203,10,BURGO PAULISTA / SHOP. PENHA,Diurno
2290,21,SÃO MATEUS / TERM. PQ. D. PEDRO II,Diurno
2290,10,TERM. SÃO MATEUS / TERM. PQ. D. PEDRO II,Diurno
233A,10,JD. HELENA / TERM. VL. CARRÃO,Diurno
233C,10,TERM. A. E. CARVALHO / CERET,Diurno
2363,10,JD. DANFER / TERM. PQ. D. PEDRO II,Diurno
2435,10,JD. COIMBRA / TERM. ARICANDUVA,Diurno
2451,10,VL. SÃO FRANCISCO / TERM. ARICANDUVA,Diurno
2522,10,JD. STO. ANTÔNIO / METRÔ ITAQUERA,Diurno
2523,10,VL. PROGRESSO / TERM. A. E. CARVALHO,Diurno
253F,10,TERM. A. E. CARVALHO / TERM. SÃO MATEUS,Diurno
2551,10,TERM. A. E. CARVALHO / TERM. PQ. D. PEDRO II,Diurno
2552,41,JD. SÃO MARTINHO / TERM. PQ. D. PEDRO II,Diurno
2552,10,VL. MARA / TERM. PQ. D. PEDRO II,Diurno
2582,21,CID. PEDRO JOSÉ NUNES / TERM. PQ. D. PEDRO II,Diurno
2582,10,VL. NOVA CURUÇÁ / TERM. PQ. D. PEDRO II,Diurno
2583,10,VL. CURUÇÁ / TERM. ARICANDUVA,Diurno
2590,10,UNIÃO DE VL. NOVA / PQ. D. PEDRO II,Diurno
2626,10,JD. NAZARÉ / TERM. PQ. D. PEDRO II,Diurno
263C,10,JD. HELENA / COHAB II,Diurno
263J,10,PENHA / CONJ. JOSÉ BONIFÁCIO,Diurno
2666,21,JD. CAMARGO VELHO / TERM. PQ. D. PEDRO II,Diurno
2666,10,JD. CAMARGO VELHO / TERM. PQ. D. PEDRO II,Diurno
2678,41,JD. CAMARGO NOVO / TERM. PQ. D. PEDRO II,Diurno
2678,10,OLIVEIRINHA / TERM. PQ. D. PEDRO II,Diurno
2702,21,JD. PEDRO JOSÉ NUNES / METRÔ ARTUR ALVIM,Diurno
2702,10,VL. AMERICANA / METRÔ ARTUR ALVIM,Diurno
